panel,outcome,min_n,min_span,observed_affine_screen,dollar_cap,respondents,compatible,incompatible,compatible_share,median_width_among_compatible,median_minimum_dollar_error,p95_minimum_dollar_error
own_pair,taxguessmain,2,0,False,50,4197,4197,0,1,0.398406374502,0,0
own_pair,taxguessmain,2,0,False,100,4197,4197,0,1,0.796812749004,0,0
own_pair,taxguessmain,2,0,False,500,4197,4197,0,1,3.98406374502,0,0
own_pair,taxguessmain,2,0,False,1000,4197,4197,0,1,7.96812749004,0,0
own_pair,taxguessmain,2,0,False,5000,4197,4197,0,1,39.8406374502,0,0
own_pair,taxguessds,2,0,False,50,4197,4197,0,1,0.398406374502,0,0
own_pair,taxguessds,2,0,False,100,4197,4197,0,1,0.796812749004,0,0
own_pair,taxguessds,2,0,False,500,4197,4197,0,1,3.98406374502,0,0
own_pair,taxguessds,2,0,False,1000,4197,4197,0,1,7.96812749004,0,0
own_pair,taxguessds,2,0,False,5000,4197,4197,0,1,39.8406374502,0,0
own_bracket,taxguessmain,2,0,False,50,4168,1639,2529,0.393234165067,0.058207217695,184.349915225,9997.33105267
own_bracket,taxguessmain,2,0,False,100,4168,1843,2325,0.442178502879,0.0793544987378,184.349915225,9997.33105267
own_bracket,taxguessmain,2,0,False,500,4168,2580,1588,0.619001919386,0.219590058776,184.349915225,9997.33105267
own_bracket,taxguessmain,2,0,False,1000,4168,2970,1198,0.712571976967,0.356689223086,184.349915225,9997.33105267
own_bracket,taxguessmain,2,0,False,5000,4168,3789,379,0.909069097889,1.26035503752,184.349915225,9997.33105267
own_bracket,taxguessmain,3,0,True,50,3458,941,2517,0.272122614228,0.0156188988676,377.143426421,11385.9597741
own_bracket,taxguessmain,3,0,True,100,3458,1145,2313,0.331116252169,0.0292590154341,377.143426421,11385.9597741
own_bracket,taxguessmain,3,0,True,500,3458,1880,1578,0.543666859456,0.12090902007,377.143426421,11385.9597741
own_bracket,taxguessmain,3,0,True,1000,3458,2268,1190,0.655870445344,0.21515837159,377.143426421,11385.9597741
own_bracket,taxguessmain,3,0,True,5000,3458,3083,375,0.891555812608,0.911244760343,377.143426421,11385.9597741
own_bracket,taxguessmain,4,5000,True,50,2470,424,2046,0.171659919028,0.00756165271199,693.291738976,14970.6831987
own_bracket,taxguessmain,4,5000,True,100,2470,555,1915,0.224696356275,0.0150983278602,693.291738976,14970.6831987
own_bracket,taxguessmain,4,5000,True,500,2470,1084,1386,0.438866396761,0.0689940672492,693.291738976,14970.6831987
own_bracket,taxguessmain,4,5000,True,1000,2470,1411,1059,0.571255060729,0.13230211231,693.291738976,14970.6831987
own_bracket,taxguessmain,4,5000,True,5000,2470,2132,338,0.863157894737,0.618304959766,693.291738976,14970.6831987
own_bracket,taxguessds,2,0,False,50,4168,1641,2527,0.393714011516,0.0572409845449,184.152315347,10247.583065
own_bracket,taxguessds,2,0,False,100,4168,1845,2323,0.442658349328,0.0792707094728,184.152315347,10247.583065
own_bracket,taxguessds,2,0,False,500,4168,2582,1586,0.619481765835,0.218543596719,184.152315347,10247.583065
own_bracket,taxguessds,2,0,False,1000,4168,2972,1196,0.713051823417,0.355523978704,184.152315347,10247.583065
own_bracket,taxguessds,2,0,False,5000,4168,3785,383,0.90810940499,1.26035503752,184.152315347,10247.583065
own_bracket,taxguessds,3,0,True,50,3458,943,2515,0.272700983227,0.0154966682163,376.030761136,12038.5173428
own_bracket,taxguessds,3,0,True,100,3458,1147,2311,0.331694621168,0.029084563368,376.030761136,12038.5173428
own_bracket,taxguessds,3,0,True,500,3458,1882,1576,0.544245228456,0.120456885163,376.030761136,12038.5173428
own_bracket,taxguessds,3,0,True,1000,3458,2270,1188,0.656448814344,0.214990235944,376.030761136,12038.5173428
own_bracket,taxguessds,3,0,True,5000,3458,3079,379,0.89039907461,0.911758760029,376.030761136,12038.5173428
own_bracket,taxguessds,4,5000,True,50,2470,426,2044,0.172469635628,0.00756165271199,689.342246957,15588.1605701
own_bracket,taxguessds,4,5000,True,100,2470,557,1913,0.225506072874,0.0150983278602,689.342246957,15588.1605701
own_bracket,taxguessds,4,5000,True,500,2470,1087,1383,0.44008097166,0.0689869269773,689.342246957,15588.1605701
own_bracket,taxguessds,4,5000,True,1000,2470,1413,1057,0.572064777328,0.13230211231,689.342246957,15588.1605701
own_bracket,taxguessds,4,5000,True,5000,2470,2129,341,0.861943319838,0.618467437689,689.342246957,15588.1605701
