panel,outcome,n,mean_error,sd_error,rmse_error,median_error,p95_abs_error,slope_change_gt_001
own_pair,taxguessmain,4197,-5.79489303139,835.794240423,835.814329328,-0.00928742084897,33.23523126,0
own_pair,taxguessds,4197,-7.88435444548,923.992414728,924.026052403,-0.00791623498816,34.5362997731,47
own_pair,tgw5,4197,-1.00259870323,333.434089803,333.435597151,-0.0225124074452,27.1415384615,245
own_pair,tg0to100,4197,-5.79701359186,836.56000781,836.580093018,-0.00784753363229,32.1471058544,77
native_local,taxguessmain,4197,-0.804915540594,63.7328453727,63.7379280204,-0.000426150520368,1.6674549383,0
native_local,taxguessds,4197,-0.662474695286,64.1920501476,64.1954684917,-0.000425020965352,2.00739463988,79
native_local,tgw5,4197,-0.522262912358,34.907853784,34.9117604018,-0.000726346889846,1.26478553984,346
native_local,tg0to100,4197,-0.872912409858,63.4876569312,63.4936576257,-0.000245484874729,1.55108037238,103
own_bracket,taxguessmain,4168,-0.810878997369,63.9534667596,63.9586072028,-0.000210097001058,1.64532849086,0
own_bracket,taxguessds,4168,-0.667469910997,64.4142835372,64.4177416531,-0.000141448799733,1.94964181823,78
own_bracket,tgw5,4168,-0.525156059824,35.0283933434,35.0323297699,-0.00042558574286,1.21619066749,343
own_bracket,tg0to100,4168,-0.877761898791,63.707564775,63.7136113834,-7.48813646619e-05,1.50397916019,101
random_mid,taxguessmain,4197,-0.0363419094664,0.161948341181,0.165975900645,-0.0565695555896,0.24666701684,0
random_mid,taxguessds,4197,-0.0132555320751,1.04896814355,1.04905189352,-0.0579526563813,0.257666274546,157
random_mid,tgw5,4197,-0.0483077052532,0.117684775458,0.127213760111,-0.0558696190644,0.216433388473,516
random_mid,tg0to100,4197,-0.0346527825751,0.162413341507,0.166068988194,-0.0536265044544,0.24426927808,139
random_full,taxguessmain,4197,-0.109014882397,0.168871559535,0.201002109949,-0.140075426426,0.29923922878,0
random_full,taxguessds,4197,-0.098771004462,0.433310250741,0.444424892102,-0.142754811667,0.302817470036,162
random_full,tgw5,4197,-0.12047405624,0.134534312641,0.180592025031,-0.140927103373,0.294091502994,484
random_full,tg0to100,4197,-0.108795771008,0.168104239861,0.200238745623,-0.139774187857,0.29916073076,87
